Date,Time,Open,Close,High,Low,Volume,Amount
20200116,2020.01.16T14:50:00.000,7.22,7.22,7.22,7.22,6100,44042
20200116,2020.01.16T14:51:00.000,7.22,7.22,7.22,7.22,0,0
20200116,2020.01.16T15:00:00.000,7.22,7.22,7.22,7.22,300,2166
20200117,2020.01.17T14:50:00.000,7.94,7.94,7.94,7.94,0,0
20200117,2020.01.17T14:51:00.000,7.94,7.94,7.94,7.94,700,5558
20200117,2020.01.17T15:00:00.000,7.94,7.94,7.94,7.94,700,5558
20200120,2020.01.20T14:50:00.000,8.73,8.73,8.73,8.73,300,2619
20200120,2020.01.20T14:51:00.000,8.73,8.73,8.73,8.73,600,5238
20200120,2020.01.20T15:00:00.000,8.73,8.73,8.73,8.73,100,873
20200121,2020.01.21T14:50:00.000,9.33,9.36,9.36,9.33,144600,1350928
20200121,2020.01.21T14:51:00.000,9.35,9.36,9.36,9.35,135500,1267536
20200121,2020.01.21T15:00:00.000,9.33,9.33,9.33,9.33,471318,4397408
20200122,2020.01.22T14:50:00.000,9.05,9.04,9.05,9.03,61300,554199
20200122,2020.01.22T14:51:00.000,9.04,9.03,9.04,9.03,188779,1705376
20200122,2020.01.22T15:00:00.000,8.98,8.98,8.98,8.98,405400,3640492
20200123,2020.01.23T14:50:00.000,9.21,9.27,9.28,9.21,63800,589972
20200123,2020.01.23T14:51:00.000,9.27,9.26,9.27,9.22,44400,410126
20200123,2020.01.23T15:00:00.000,9.4,9.4,9.4,9.4,441783,4152760
20200203,2020.02.03T14:50:00.000,8.46,8.46,8.46,8.46,5400,45684
20200203,2020.02.03T14:51:00.000,8.46,8.46,8.46,8.46,2600,21996
20200203,2020.02.03T15:00:00.000,8.46,8.46,8.46,8.46,16900,142974
20200204,2020.02.04T14:50:00.000,9.31,9.31,9.31,9.31,1200,11172
20200204,2020.02.04T14:51:00.000,9.31,9.31,9.31,9.31,100,931
20200204,2020.02.04T15:00:00.000,9.31,9.31,9.31,9.31,1000,9310
20200205,2020.02.05T14:50:00.000,10.24,10.24,10.24,10.24,500,5120
20200205,2020.02.05T14:51:00.000,10.24,10.24,10.24,10.24,200,2048
20200205,2020.02.05T15:00:00.000,10.24,10.24,10.24,10.24,0,0
20200206,2020.02.06T14:50:00.000,11.26,11.26,11.26,11.26,5500,61930
20200206,2020.02.06T14:51:00.000,11.26,11.26,11.26,11.26,13000,146380
20200206,2020.02.06T15:00:00.000,11.26,11.26,11.26,11.26,22400,252224
20200207,2020.02.07T14:50:00.000,11.45,11.42,11.45,11.41,113100,1292288
20200207,2020.02.07T14:51:00.000,11.41,11.42,11.44,11.41,120900,1381392
20200207,2020.02.07T15:00:00.000,11.5,11.48,11.5,11.48,1118700,12842688
20200210,2020.02.10T14:50:00.000,11.67,11.75,11.75,11.67,140845,1649008
20200210,2020.02.10T14:51:00.000,11.74,11.73,11.75,11.71,225455,2646736
20200210,2020.02.10T15:00:00.000,11.71,11.75,11.75,11.71,656200,7710352
20200211,2020.02.11T14:50:00.000,10.58,10.58,10.58,10.58,1600,16928
20200211,2020.02.11T14:51:00.000,10.58,10.58,10.58,10.58,1100,11638
20200211,2020.02.11T15:00:00.000,10.58,10.58,10.58,10.58,11000,116380
20200212,2020.02.12T14:50:00.000,10.31,10.32,10.32,10.31,200600,2068192
20200212,2020.02.12T14:51:00.000,10.31,10.32,10.32,10.31,136800,1411056
20200212,2020.02.12T15:00:00.000,10.23,10.23,10.23,10.23,606300,6202448
20200213,2020.02.13T14:50:00.000,9.99,9.97,9.99,9.97,153300,1529551
20200213,2020.02.13T14:51:00.000,9.97,9.97,9.97,9.96,109065,1086848
20200213,2020.02.13T15:00:00.000,9.88,9.88,9.88,9.88,331535,3275565
20200214,2020.02.14T14:50:00.000,9.42,9.42,9.42,9.41,121903,1147890
20200214,2020.02.14T14:51:00.000,9.42,9.42,9.42,9.41,48400,455734
20200214,2020.02.14T15:00:00.000,9.41,9.41,9.41,9.41,301800,2839938
