Date,Time,Open,Close,High,Low,Volume,Amount
20200102,2020.01.02T14:50:00.000,5.87,5.86,5.87,5.86,106867,627129
20200102,2020.01.02T14:51:00.000,5.87,5.87,5.87,5.86,150400,882765
20200102,2020.01.02T15:00:00.000,5.86,5.85,5.86,5.85,344346,2014424
20200103,2020.01.03T14:50:00.000,5.86,5.86,5.86,5.85,97600,571730
20200103,2020.01.03T14:51:00.000,5.86,5.86,5.87,5.85,355103,2080651
20200103,2020.01.03T15:00:00.000,5.87,5.87,5.87,5.87,142500,836475
20200106,2020.01.06T14:50:00.000,5.85,5.84,5.85,5.84,55800,326393
20200106,2020.01.06T14:51:00.000,5.84,5.84,5.85,5.84,39200,229135
20200106,2020.01.06T15:00:00.000,5.84,5.85,5.85,5.84,204900,1198665
20200107,2020.01.07T14:50:00.000,5.86,5.87,5.87,5.86,41600,243900
20200107,2020.01.07T14:51:00.000,5.87,5.86,5.87,5.86,141700,831264
20200107,2020.01.07T15:00:00.000,5.87,5.87,5.87,5.87,558400,3277808
20200108,2020.01.08T14:50:00.000,5.71,5.71,5.71,5.7,356200,2032379
20200108,2020.01.08T14:51:00.000,5.7,5.71,5.72,5.7,934700,5330441
20200108,2020.01.08T15:00:00.000,5.71,5.71,5.71,5.71,417400,2383354
20200109,2020.01.09T14:50:00.000,5.74,5.75,5.75,5.74,56900,327056
20200109,2020.01.09T14:51:00.000,5.75,5.74,5.75,5.74,89300,513056
20200109,2020.01.09T15:00:00.000,5.75,5.75,5.75,5.75,105500,606625
20200110,2020.01.10T14:50:00.000,5.66,5.67,5.67,5.66,103388,585680
20200110,2020.01.10T14:51:00.000,5.67,5.67,5.67,5.66,55100,312368
20200110,2020.01.10T15:00:00.000,5.67,5.67,5.67,5.67,213378,1209856
20200113,2020.01.13T14:50:00.000,5.65,5.65,5.65,5.64,208500,1176965
20200113,2020.01.13T14:51:00.000,5.65,5.66,5.66,5.64,510200,2882462
20200113,2020.01.13T15:00:00.000,5.66,5.66,5.66,5.66,565800,3202428
20200114,2020.01.14T14:50:00.000,5.67,5.68,5.68,5.67,93200,528983
20200114,2020.01.14T14:51:00.000,5.68,5.67,5.68,5.67,106900,606801
20200114,2020.01.14T15:00:00.000,5.67,5.68,5.68,5.67,185301,1052509
20200115,2020.01.15T14:50:00.000,5.6,5.59,5.6,5.59,109000,609908
20200115,2020.01.15T14:51:00.000,5.59,5.6,5.6,5.59,233100,1303134
20200115,2020.01.15T15:00:00.000,5.59,5.59,5.59,5.59,285100,1593709
20200116,2020.01.16T14:50:00.000,5.58,5.58,5.58,5.57,125500,699173
20200116,2020.01.16T14:51:00.000,5.58,5.58,5.58,5.57,138345,770904
20200116,2020.01.16T15:00:00.000,5.58,5.58,5.58,5.58,206900,1154502
20200117,2020.01.17T14:50:00.000,5.54,5.54,5.54,5.54,198821,1101529
20200117,2020.01.17T14:51:00.000,5.54,5.53,5.55,5.53,202248,1120329
20200117,2020.01.17T15:00:00.000,5.54,5.54,5.54,5.54,288200,1596628
20200120,2020.01.20T14:50:00.000,5.53,5.53,5.53,5.52,22500,124331
20200120,2020.01.20T14:51:00.000,5.53,5.53,5.53,5.52,363100,2007365
20200120,2020.01.20T15:00:00.000,5.54,5.54,5.54,5.54,691500,3830910
20200121,2020.01.21T14:50:00.000,5.47,5.48,5.48,5.47,130600,714687
20200121,2020.01.21T14:51:00.000,5.48,5.47,5.48,5.47,270600,1480448
20200121,2020.01.21T15:00:00.000,5.47,5.46,5.47,5.46,217100,1185366
20200122,2020.01.22T14:50:00.000,5.4,5.4,5.41,5.4,62700,338770
20200122,2020.01.22T14:51:00.000,5.41,5.41,5.41,5.4,223642,1208229
20200122,2020.01.22T15:00:00.000,5.4,5.39,5.4,5.39,268800,1448832
20200123,2020.01.23T14:50:00.000,5.19,5.18,5.19,5.18,255800,1327024
20200123,2020.01.23T14:51:00.000,5.18,5.2,5.2,5.18,202800,1053376
20200123,2020.01.23T15:00:00.000,5.2,5.2,5.2,5.2,580800,3020160
20200203,2020.02.03T14:50:00.000,4.68,4.68,4.68,4.68,32500,152100
20200203,2020.02.03T14:51:00.000,4.68,4.68,4.68,4.68,20700,96876
20200203,2020.02.03T15:00:00.000,4.68,4.68,4.68,4.68,1382000,6467760
20200204,2020.02.04T14:50:00.000,4.5,4.5,4.5,4.49,455408,2048480
20200204,2020.02.04T14:51:00.000,4.5,4.5,4.5,4.49,337600,1516624
20200204,2020.02.04T15:00:00.000,4.5,4.51,4.51,4.5,920985,4153648
20200205,2020.02.05T14:50:00.000,4.58,4.58,4.58,4.57,66800,305612
20200205,2020.02.05T14:51:00.000,4.58,4.58,4.58,4.57,122900,562104
20200205,2020.02.05T15:00:00.000,4.58,4.57,4.58,4.57,410880,1877721
20200206,2020.02.06T14:50:00.000,4.6,4.61,4.61,4.6,75500,347553
20200206,2020.02.06T14:51:00.000,4.61,4.6,4.61,4.6,163000,749838
20200206,2020.02.06T15:00:00.000,4.6,4.61,4.61,4.6,278800,1285268
20200207,2020.02.07T14:50:00.000,4.6,4.59,4.6,4.59,43000,197699
20200207,2020.02.07T14:51:00.000,4.59,4.62,4.62,4.59,672900,3100350
20200207,2020.02.07T15:00:00.000,4.69,4.7,4.7,4.69,1838500,8640950
20200210,2020.02.10T14:50:00.000,4.71,4.71,4.72,4.71,84100,396318
20200210,2020.02.10T14:51:00.000,4.71,4.71,4.72,4.71,176800,833389
20200210,2020.02.10T15:00:00.000,4.71,4.71,4.71,4.71,637800,3004038
20200211,2020.02.11T14:50:00.000,4.77,4.77,4.78,4.77,91797,438419
20200211,2020.02.11T14:51:00.000,4.77,4.78,4.78,4.77,214700,1025336
20200211,2020.02.11T15:00:00.000,4.77,4.78,4.78,4.77,424200,2027676
20200212,2020.02.12T14:50:00.000,4.85,4.86,4.86,4.85,61800,299836
20200212,2020.02.12T14:51:00.000,4.85,4.86,4.86,4.85,68600,333263
20200212,2020.02.12T15:00:00.000,4.86,4.85,4.86,4.85,555800,2695630
20200213,2020.02.13T14:50:00.000,4.77,4.77,4.77,4.76,260600,1242612
20200213,2020.02.13T14:51:00.000,4.77,4.77,4.77,4.76,107400,512194
20200213,2020.02.13T15:00:00.000,4.76,4.76,4.76,4.76,294700,1402772
20200214,2020.02.14T14:50:00.000,4.73,4.74,4.74,4.73,52300,247760
20200214,2020.02.14T14:51:00.000,4.74,4.74,4.74,4.73,112100,531060
20200214,2020.02.14T15:00:00.000,4.74,4.74,4.74,4.74,363138,1721274
20200217,2020.02.17T14:50:00.000,4.88,4.87,4.88,4.87,125500,611846
20200217,2020.02.17T14:51:00.000,4.88,4.88,4.88,4.86,364900,1778365
20200217,2020.02.17T15:00:00.000,4.88,4.88,4.88,4.88,567513,2769463
20200218,2020.02.18T14:50:00.000,4.88,4.88,4.89,4.88,51300,250483
20200218,2020.02.18T14:51:00.000,4.88,4.88,4.89,4.88,432000,2110598
20200218,2020.02.18T15:00:00.000,4.89,4.89,4.89,4.89,248100,1213209
20200219,2020.02.19T14:50:00.000,4.86,4.87,4.87,4.86,109788,533903
20200219,2020.02.19T14:51:00.000,4.86,4.86,4.87,4.86,870900,4233310
20200219,2020.02.19T15:00:00.000,4.86,4.86,4.86,4.86,311900,1515834
20200220,2020.02.20T14:50:00.000,4.92,4.91,4.93,4.91,503900,2478834
20200220,2020.02.20T14:51:00.000,4.91,4.92,4.92,4.91,179400,881830
20200220,2020.02.20T15:00:00.000,4.92,4.92,4.92,4.92,427050,2101086
20200221,2020.02.21T14:50:00.000,4.89,4.9,4.9,4.89,58700,287383
20200221,2020.02.21T14:51:00.000,4.89,4.89,4.9,4.89,184300,902164
20200221,2020.02.21T15:00:00.000,4.9,4.9,4.9,4.9,223500,1095150
20200224,2020.02.24T14:50:00.000,4.77,4.77,4.78,4.77,205800,981962
20200224,2020.02.24T14:51:00.000,4.77,4.77,4.78,4.77,200800,958394
20200224,2020.02.24T15:00:00.000,4.78,4.77,4.78,4.77,502800,2398356
20200225,2020.02.25T14:50:00.000,4.68,4.68,4.68,4.67,115200,538493
20200225,2020.02.25T14:51:00.000,4.68,4.67,4.68,4.67,154800,723720
20200225,2020.02.25T15:00:00.000,4.71,4.69,4.71,4.69,726400,3406816
20200226,2020.02.26T14:50:00.000,4.71,4.72,4.72,4.71,133000,627022
20200226,2020.02.26T14:51:00.000,4.71,4.73,4.73,4.71,428237,2020461
20200226,2020.02.26T15:00:00.000,4.71,4.71,4.71,4.71,476100,2242431
