Date,Time,Open,Close,High,Low,Volume,Amount
20200102,2020.01.02T14:50:00.000,1.44,1.45,1.45,1.44,83200,120137
20200102,2020.01.02T14:51:00.000,1.44,1.44,1.45,1.44,504200,729799
20200102,2020.01.02T15:00:00.000,1.45,1.44,1.45,1.44,416400,599616
20200103,2020.01.03T14:50:00.000,1.44,1.44,1.44,1.43,172800,248550
20200103,2020.01.03T14:51:00.000,1.44,1.43,1.44,1.43,271300,388125
20200103,2020.01.03T15:00:00.000,1.44,1.44,1.44,1.44,1082700,1559088
20200106,2020.01.06T14:50:00.000,1.43,1.44,1.44,1.43,133900,192762
20200106,2020.01.06T14:51:00.000,1.44,1.44,1.44,1.43,43900,63032
20200106,2020.01.06T15:00:00.000,1.43,1.44,1.44,1.43,553500,797040
20200107,2020.01.07T14:50:00.000,1.47,1.47,1.47,1.46,354634,521196
20200107,2020.01.07T14:51:00.000,1.47,1.47,1.47,1.46,1178800,1724892
20200107,2020.01.07T15:00:00.000,1.46,1.47,1.47,1.46,1036900,1524243
20200108,2020.01.08T14:50:00.000,1.44,1.44,1.45,1.44,58000,83762
20200108,2020.01.08T14:51:00.000,1.45,1.45,1.45,1.44,121490,175053
20200108,2020.01.08T15:00:00.000,1.43,1.44,1.44,1.43,341400,491616
20200109,2020.01.09T14:50:00.000,1.45,1.45,1.45,1.44,71900,104245
20200109,2020.01.09T14:51:00.000,1.45,1.45,1.45,1.44,210500,303356
20200109,2020.01.09T15:00:00.000,1.45,1.44,1.45,1.44,460900,663696
20200110,2020.01.10T14:50:00.000,1.43,1.44,1.44,1.43,54000,77643
20200110,2020.01.10T14:51:00.000,1.43,1.44,1.44,1.43,174900,250161
20200110,2020.01.10T15:00:00.000,1.43,1.43,1.43,1.43,473700,677391
20200113,2020.01.13T14:50:00.000,1.44,1.43,1.44,1.43,119800,172031
20200113,2020.01.13T14:51:00.000,1.44,1.43,1.44,1.43,182000,261589
20200113,2020.01.13T15:00:00.000,1.43,1.44,1.44,1.43,435600,627264
20200114,2020.01.14T14:50:00.000,1.43,1.43,1.44,1.43,144720,208279
20200114,2020.01.14T14:51:00.000,1.43,1.43,1.44,1.43,179420,257844
20200114,2020.01.14T15:00:00.000,1.44,1.43,1.44,1.43,473950,677748
20200115,2020.01.15T14:50:00.000,1.42,1.42,1.42,1.41,90800,128476
20200115,2020.01.15T14:51:00.000,1.42,1.41,1.42,1.41,82400,116516
20200115,2020.01.15T15:00:00.000,1.43,1.42,1.43,1.42,823500,1169370
