,code,signal_date
21896,000936.SZ,2023-04-30
21900,000951.SZ,2023-04-30
21906,000967.SZ,2023-04-30
21933,001218.SZ,2023-04-30
21938,001288.SZ,2023-04-30
21940,001296.SZ,2023-04-30
21964,002026.SZ,2023-04-30
21983,002054.SZ,2023-04-30
21991,002065.SZ,2023-04-30
22005,002092.SZ,2023-04-30
22012,002106.SZ,2023-04-30
22013,002108.SZ,2023-04-30
22014,002109.SZ,2023-04-30
22015,002110.SZ,2023-04-30
22016,002111.SZ,2023-04-30
22034,002144.SZ,2023-04-30
22044,002165.SZ,2023-04-30
22046,002169.SZ,2023-04-30
22048,002171.SZ,2023-04-30
22051,002181.SZ,2023-04-30
22055,002185.SZ,2023-04-30
22062,002202.SZ,2023-04-30
22071,002218.SZ,2023-04-30
22074,002224.SZ,2023-04-30
22077,002228.SZ,2023-04-30
22080,002233.SZ,2023-04-30
22092,002252.SZ,2023-04-30
22106,002282.SZ,2023-04-30
22107,002283.SZ,2023-04-30
22124,002322.SZ,2023-04-30
22148,002375.SZ,2023-04-30
22149,002376.SZ,2023-04-30
22152,002382.SZ,2023-04-30
22163,002399.SZ,2023-04-30
22168,002406.SZ,2023-04-30
22180,002423.SZ,2023-04-30
22187,002440.SZ,2023-04-30
22192,002449.SZ,2023-04-30
22194,002454.SZ,2023-04-30
22200,002462.SZ,2023-04-30
22209,002479.SZ,2023-04-30
22210,002483.SZ,2023-04-30
22227,002521.SZ,2023-04-30
22229,002523.SZ,2023-04-30
22230,002532.SZ,2023-04-30
22231,002533.SZ,2023-04-30
22238,002543.SZ,2023-04-30
22241,002546.SZ,2023-04-30
22258,002579.SZ,2023-04-30
22261,002585.SZ,2023-04-30
22276,002614.SZ,2023-04-30
22278,002623.SZ,2023-04-30
22285,002636.SZ,2023-04-30
22286,002637.SZ,2023-04-30
22331,002734.SZ,2023-04-30
22338,002746.SZ,2023-04-30
22342,002753.SZ,2023-04-30
22344,002757.SZ,2023-04-30
22373,002809.SZ,2023-04-30
22379,002820.SZ,2023-04-30
22416,002879.SZ,2023-04-30
22432,002899.SZ,2023-04-30
22448,002921.SZ,2023-04-30
22480,002962.SZ,2023-04-30
22516,003012.SZ,2023-04-30
22526,003023.SZ,2023-04-30
22565,300047.SZ,2023-04-30
22572,300070.SZ,2023-04-30
22577,300088.SZ,2023-04-30
22579,300095.SZ,2023-04-30
22614,300185.SZ,2023-04-30
22616,300190.SZ,2023-04-30
22618,300193.SZ,2023-04-30
22626,300213.SZ,2023-04-30
22648,300255.SZ,2023-04-30
22651,300259.SZ,2023-04-30
22698,300377.SZ,2023-04-30
22700,300381.SZ,2023-04-30
22720,300409.SZ,2023-04-30
22727,300423.SZ,2023-04-30
22733,300433.SZ,2023-04-30
22748,300463.SZ,2023-04-30
22812,300569.SZ,2023-04-30
22840,300616.SZ,2023-04-30
22846,300625.SZ,2023-04-30
22852,300632.SZ,2023-04-30
22877,300664.SZ,2023-04-30
22885,300677.SZ,2023-04-30
22895,300690.SZ,2023-04-30
22967,300791.SZ,2023-04-30
22980,300810.SZ,2023-04-30
22991,300823.SZ,2023-04-30
23013,300851.SZ,2023-04-30
23040,300889.SZ,2023-04-30
23052,300903.SZ,2023-04-30
23067,300923.SZ,2023-04-30
23074,300932.SZ,2023-04-30
23095,300965.SZ,2023-04-30
23096,300968.SZ,2023-04-30
23102,300976.SZ,2023-04-30
23106,300981.SZ,2023-04-30
23149,301032.SZ,2023-04-30
23152,301036.SZ,2023-04-30
23205,301108.SZ,2023-04-30
23217,301126.SZ,2023-04-30
23224,301135.SZ,2023-04-30
23232,301151.SZ,2023-04-30
23253,301182.SZ,2023-04-30
23258,301189.SZ,2023-04-30
23264,301196.SZ,2023-04-30
23266,301199.SZ,2023-04-30
23269,301206.SZ,2023-04-30
23280,301219.SZ,2023-04-30
23321,301321.SZ,2023-04-30
23334,600000.SH,2023-04-30
23339,600015.SH,2023-04-30
23340,600016.SH,2023-04-30
23344,600020.SH,2023-04-30
23349,600027.SH,2023-04-30
23369,600061.SH,2023-04-30
23376,600075.SH,2023-04-30
23384,600097.SH,2023-04-30
23385,600098.SH,2023-04-30
23389,600104.SH,2023-04-30
23399,600120.SH,2023-04-30
23419,600170.SH,2023-04-30
23424,600178.SH,2023-04-30
23439,600216.SH,2023-04-30
23440,600218.SH,2023-04-30
23447,600235.SH,2023-04-30
23449,600248.SH,2023-04-30
23451,600252.SH,2023-04-30
23453,600261.SH,2023-04-30
23455,600266.SH,2023-04-30
23459,600271.SH,2023-04-30
23475,600300.SH,2023-04-30
23477,600308.SH,2023-04-30
23485,600327.SH,2023-04-30
23492,600339.SH,2023-04-30
23497,600352.SH,2023-04-30
23502,600362.SH,2023-04-30
23506,600368.SH,2023-04-30
23510,600373.SH,2023-04-30
23511,600376.SH,2023-04-30
23527,600409.SH,2023-04-30
23530,600420.SH,2023-04-30
23535,600429.SH,2023-04-30
23536,600433.SH,2023-04-30
23545,600458.SH,2023-04-30
23551,600469.SH,2023-04-30
23552,600475.SH,2023-04-30
23557,600482.SH,2023-04-30
23560,600487.SH,2023-04-30
23591,600548.SH,2023-04-30
23593,600551.SH,2023-04-30
23597,600558.SH,2023-04-30
23617,600597.SH,2023-04-30
23624,600611.SH,2023-04-30
23632,600623.SH,2023-04-30
23636,600635.SH,2023-04-30
23637,600636.SH,2023-04-30
23642,600642.SH,2023-04-30
23643,600643.SH,2023-04-30
23658,600682.SH,2023-04-30
23663,600697.SH,2023-04-30
23669,600708.SH,2023-04-30
23679,600739.SH,2023-04-30
23682,600742.SH,2023-04-30
23683,600746.SH,2023-04-30
23687,600755.SH,2023-04-30
23715,600808.SH,2023-04-30
23717,600810.SH,2023-04-30
23722,600826.SH,2023-04-30
23726,600831.SH,2023-04-30
23729,600835.SH,2023-04-30
23730,600837.SH,2023-04-30
23733,600843.SH,2023-04-30
23754,600884.SH,2023-04-30
23760,600894.SH,2023-04-30
23779,600939.SH,2023-04-30
23781,600955.SH,2023-04-30
23787,600966.SH,2023-04-30
23794,600979.SH,2023-04-30
23801,600990.SH,2023-04-30
23805,600997.SH,2023-04-30
23806,600998.SH,2023-04-30
23827,601077.SH,2023-04-30
23845,601163.SH,2023-04-30
23848,601169.SH,2023-04-30
23853,601188.SH,2023-04-30
23856,601200.SH,2023-04-30
23859,601212.SH,2023-04-30
23861,601218.SH,2023-04-30
23862,601222.SH,2023-04-30
23872,601311.SH,2023-04-30
23885,601388.SH,2023-04-30
23897,601579.SH,2023-04-30
23904,601609.SH,2023-04-30
23918,601677.SH,2023-04-30
23919,601678.SH,2023-04-30
23929,601728.SH,2023-04-30
23930,601766.SH,2023-04-30
23940,601818.SH,2023-04-30
23943,601828.SH,2023-04-30
23953,601877.SH,2023-04-30
23986,601997.SH,2023-04-30
23988,601999.SH,2023-04-30
24002,603020.SH,2023-04-30
24034,603079.SH,2023-04-30
24054,603116.SH,2023-04-30
24074,603183.SH,2023-04-30
24105,603238.SH,2023-04-30
24124,603301.SH,2023-04-30
24142,603332.SH,2023-04-30
24157,603367.SH,2023-04-30
24164,603385.SH,2023-04-30
24177,603458.SH,2023-04-30
24211,603577.SH,2023-04-30
24260,603680.SH,2023-04-30
24270,603697.SH,2023-04-30
24287,603727.SH,2023-04-30
24297,603766.SH,2023-04-30
24300,603776.SH,2023-04-30
24304,603788.SH,2023-04-30
24313,603810.SH,2023-04-30
24325,603839.SH,2023-04-30
24329,603858.SH,2023-04-30
24331,603861.SH,2023-04-30
24348,603897.SH,2023-04-30
24349,603898.SH,2023-04-30
24362,603926.SH,2023-04-30
24366,603933.SH,2023-04-30
24368,603937.SH,2023-04-30
24384,603980.SH,2023-04-30
24422,605100.SH,2023-04-30
24447,605208.SH,2023-04-30
24451,605258.SH,2023-04-30
24458,605288.SH,2023-04-30
24486,605566.SH,2023-04-30
