Date,data_code,b1_factor_value,b2_factor_value,b3_factor_value,b4_factor_value,b5_factor_value,b6_factor_value
2010-01-01,600664.SH.XSHG.CS,0.4308849045691151,0.7768288154474564,0.918997668997669,0.1826729348556078,0.8620424221690044,23.612610804453155
2010-01-01,000501.SZ.XSHE.CS,0.1911632100991884,0.8588093322606597,0.5202470830473576,0.3607932875667429,0.3879558541266795,32.11717729111674
2010-01-01,600662.SH.XSHG.CS,0.962010520163647,0.5804980708523325,0.7550151975683891,0.9681355932203388,0.9544132740335272,61.875800279239826
2010-01-01,000488.SZ.XSHE.CS,0.9906832298136646,0.2598425196850393,0.4054054054054054,0.7979310344827586,0.7644144144144144,66.1364567252825
2010-01-02,600664.SH.XSHG.CS,0.4308849045691151,0.7768288154474564,0.918997668997669,0.1826729348556078,0.8619805028219599,23.612610804453155
2010-01-02,000501.SZ.XSHE.CS,0.1911632100991884,0.8588093322606597,0.5202470830473576,0.3607932875667429,0.3879737725891572,32.11717729111674
2010-01-02,600662.SH.XSHG.CS,0.962010520163647,0.5804980708523325,0.7550151975683891,0.9681355932203388,0.9543355566957414,61.875800279239826
2010-01-02,000488.SZ.XSHE.CS,0.9906832298136646,0.2598425196850393,0.4054054054054054,0.7979310344827586,0.764335034524167,66.1364567252825
2010-01-03,600664.SH.XSHG.CS,0.4308849045691151,0.7768288154474564,0.918997668997669,0.1826729348556078,0.8619186046511628,23.612610804453155
2010-01-03,000501.SZ.XSHE.CS,0.1911632100991884,0.8588093322606597,0.5202470830473576,0.3607932875667429,0.3879916853213943,32.11717729111674
2010-01-03,600662.SH.XSHG.CS,0.962010520163647,0.5804980708523325,0.7550151975683891,0.9681355932203388,0.9542578659370724,61.875800279239826
2010-01-03,000488.SZ.XSHE.CS,0.9906832298136646,0.2598425196850393,0.4054054054054054,0.7979310344827586,0.7642557022809123,66.1364567252825
2010-01-04,600664.SH.XSHG.CS,0.399652978600347,0.7482361678425548,0.9015151515151516,0.1692411014103425,0.8568986151478886,23.177944444219584
2010-01-04,000501.SZ.XSHE.CS,0.1884580703336339,0.8567980691874497,0.5161290322580645,0.3524027459954233,0.3843325339728217,31.814592848266383
2010-01-04,600662.SH.XSHG.CS,0.9567757009345794,0.5725806451612904,0.7484811664641555,0.9661246612466124,0.9512737220037614,61.01141191678245
2010-01-04,000488.SZ.XSHE.CS,0.989447548106766,0.2542372881355932,0.396356783919598,0.7925568573397657,0.7632763276327633,65.518358998878
2010-01-05,600664.SH.XSHG.CS,0.3942196531791908,0.7420193021529324,0.8969132207338381,0.1664429530201342,0.8545299145299146,23.05010139709206
2010-01-05,000501.SZ.XSHE.CS,0.187556357078449,0.8563958165728077,0.515442690459849,0.3508771929824561,0.3831521739130434,31.77136649928776
2010-01-05,600662.SH.XSHG.CS,0.9690601284296556,0.5934104451454609,0.7595628415300546,0.969532836831415,0.9584615384615384,63.02831809584964
2010-01-05,000488.SZ.XSHE.CS,0.9956575682382134,0.2740471869328493,0.428750784682988,0.809228650137741,0.767246550689862,67.52717660969265
2010-01-06,600664.SH.XSHG.CS,0.3942196531791908,0.7420193021529324,0.8969132207338381,0.1664429530201342,0.8544693214835071,23.05010139709206
2010-01-06,000501.SZ.XSHE.CS,0.172072072072072,0.850422195416164,0.50480109739369,0.3277439024390244,0.3663097330989292,30.97167904318324
2010-01-06,600662.SH.XSHG.CS,0.9579929988331388,0.5749824807288016,0.7512135922330098,0.96617050067659,0.9523158434455647,61.371573734473024
2010-01-06,000488.SZ.XSHE.CS,0.9913151364764268,0.2637628554143981,0.4086629001883239,0.7995867768595041,0.7652173913043478,66.36824337268419
2010-01-07,600664.SH.XSHG.CS,0.389370306181398,0.7335807050092764,0.8958090803259604,0.1636485580147552,0.8528708133971292,22.9606112641028
2010-01-07,000501.SZ.XSHE.CS,0.1503150315031503,0.8432475884244373,0.4962302947224126,0.3092155369383092,0.3341323106423777,29.891020318717665
2010-01-07,600662.SH.XSHG.CS,0.9556851311953352,0.5723292469352014,0.7483323226197696,0.9655172413793104,0.9511278195488722,61.08344428032056
2010-01-07,000488.SZ.XSHE.CS,0.9869807811531308,0.2466747279322853,0.3902132998745294,0.7887130075705437,0.7604916067146283,64.97752348827406
2010-01-08,600664.SH.XSHG.CS,0.378175519630485,0.7195845697329377,0.8830715532286213,0.1528150134048257,0.84435332308218,22.730493779273257
2010-01-08,000501.SZ.XSHE.CS,0.151978417266187,0.8437123342707915,0.4972602739726027,0.3112633181126332,0.3379134046972359,30.042312540142845
2010-01-08,600662.SH.XSHG.CS,0.9702797202797204,0.5955882352941176,0.7618181818181818,0.970945945945946,0.9589953869810354,63.24441518646398
2010-01-08,000488.SZ.XSHE.CS,0.9894671623296158,0.259214501510574,0.4012539184952978,0.7957359009628611,0.7620617320946959,65.82740786208025
2010-01-09,600664.SH.XSHG.CS,0.378175519630485,0.7195845697329377,0.8830715532286213,0.1528150134048257,0.8442944994875299,22.730493779273257
2010-01-09,000501.SZ.XSHE.CS,0.151978417266187,0.8437123342707915,0.4972602739726027,0.3112633181126332,0.3379392971246006,30.042312540142845
2010-01-09,600662.SH.XSHG.CS,0.9702797202797204,0.5955882352941176,0.7618181818181818,0.970945945945946,0.9589169798428424,63.24441518646398
2010-01-09,000488.SZ.XSHE.CS,0.9894671623296158,0.259214501510574,0.4012539184952978,0.7957359009628611,0.761983223487118,65.82740786208025
2010-01-10,600664.SH.XSHG.CS,0.378175519630485,0.7195845697329377,0.8830715532286213,0.1528150134048257,0.8442356959863364,22.730493779273257
