date,time,inst-id,direction,cost-price,last-price,volume,avail-vol,amt,pnl,account
2020-02-03,16:00:00,600004.XSHG.CS,L,14.17,14.4,6900,6900,99360,1587.000000000003,stock
2020-02-04,16:00:00,600004.XSHG.CS,L,14.17,15.25,6900,6900,105225,7452.000000000001,stock
2020-02-05,16:00:00,600004.XSHG.CS,L,14.17,15.33,6900,6900,105777,8004.000000000001,stock
2020-02-06,16:00:00,600004.XSHG.CS,L,14.17,15.39,6900,6900,106191,8418.000000000004,stock
2020-02-07,16:00:00,600004.XSHG.CS,L,14.17,15.58,6900,6900,107502,9729.000000000002,stock
2020-02-10,16:00:00,600004.XSHG.CS,L,14.17,16,6900,6900,110400,12627,stock
2020-02-11,16:00:00,600004.XSHG.CS,L,14.17,15.97,6900,6900,110193,12420.000000000005,stock
2020-02-12,16:00:00,600004.XSHG.CS,L,14.17,15.99,6900,6900,110331,12558.000000000002,stock
2020-02-13,16:00:00,600004.XSHG.CS,L,14.17,15.7,6900,6900,108330,10556.999999999996,stock
2020-02-14,16:00:00,600004.XSHG.CS,L,14.17,15.81,6900,6900,109089,11316.000000000004,stock
2020-02-17,16:00:00,600004.XSHG.CS,L,14.17,16,6900,6900,110400,12627,stock
2020-02-18,16:00:00,600004.XSHG.CS,L,14.17,15.88,6900,6900,109572,11799.000000000005,stock
2020-02-19,16:00:00,600004.XSHG.CS,L,14.17,15.84,6900,6900,109296,11523,stock
2020-02-20,16:00:00,600004.XSHG.CS,L,14.17,17.01,6900,6900,117369.00000000001,19596.00000000001,stock
2020-02-21,16:00:00,600004.XSHG.CS,L,14.17,17.09,6900,6900,117921,20148,stock
2020-02-24,16:00:00,600004.XSHG.CS,L,14.17,16.32,6900,6900,112608,14835.000000000002,stock
2020-03-16,16:00:00,600004.XSHG.CS,L,13.520000000000001,13.47,8100,8100,109107,-405.00000000000574,stock
2020-03-17,16:00:00,600004.XSHG.CS,L,13.520000000000001,13.21,8100,8100,107001,-2511.000000000004,stock
2020-03-18,16:00:00,600004.XSHG.CS,L,13.520000000000001,13.22,8100,8100,107082,-2430.000000000006,stock
2020-03-19,16:00:00,600004.XSHG.CS,L,13.520000000000001,12.9,8100,8100,104490,-5022.000000000008,stock
