date,time,market-val,margin,fund-avail,total-asset,profit,commission,account,mode
2020-04-27,16:00:00,0,0,107353.58,107353.58,7353.58,596.42,stock,VMT
2020-04-28,16:00:00,0,0,107353.58,107353.58,7353.58,596.42,stock,VMT
2020-04-29,16:00:00,0,0,107353.58,107353.58,7353.58,596.42,stock,VMT
2020-04-30,16:00:00,0,0,107353.58,107353.58,7353.58,596.42,stock,VMT
2020-05-06,16:00:00,0,0,107353.58,107353.58,7353.58,596.42,stock,VMT
2020-05-07,16:00:00,0,0,107353.58,107353.58,7353.58,596.42,stock,VMT
2020-05-08,16:00:00,0,0,107353.58,107353.58,7353.58,596.42,stock,VMT
2020-05-11,16:00:00,0,0,107353.58,107353.58,7353.58,596.42,stock,VMT
2020-05-12,16:00:00,0,0,107353.58,107353.58,7353.58,596.42,stock,VMT
2020-05-13,16:00:00,0,0,107353.58,107353.58,7353.58,596.42,stock,VMT
2020-05-14,16:00:00,0,0,107353.58,107353.58,7353.58,596.42,stock,VMT
2020-05-15,16:00:00,0,0,107353.58,107353.58,7353.58,596.42,stock,VMT
2020-05-18,16:00:00,0,0,107353.58,107353.58,7353.58,596.42,stock,VMT
2020-05-19,16:00:00,0,0,107353.58,107353.58,7353.58,596.42,stock,VMT
2020-05-20,16:00:00,0,0,107353.58,107353.58,7353.58,596.42,stock,VMT
2020-05-21,16:00:00,0,0,107353.58,107353.58,7353.58,596.42,stock,VMT
2020-05-22,16:00:00,0,0,107353.58,107353.58,7353.58,596.42,stock,VMT
2020-05-25,16:00:00,0,0,107353.58,107353.58,7353.58,596.42,stock,VMT
2020-05-26,16:00:00,0,0,107353.58,107353.58,7353.58,596.42,stock,VMT
2020-05-27,16:00:00,0,0,107353.58,107353.58,7353.58,596.42,stock,VMT
2020-05-28,16:00:00,0,0,107353.58,107353.58,7353.58,596.42,stock,VMT
2020-05-29,16:00:00,0,0,107353.58,107353.58,7353.58,596.42,stock,VMT
2020-06-01,16:00:00,0,0,107353.58,107353.58,7353.58,596.42,stock,VMT
2020-06-02,16:00:00,0,0,107353.58,107353.58,7353.58,596.42,stock,VMT
2020-06-03,16:00:00,0,0,107353.58,107353.58,7353.58,596.42,stock,VMT
2020-06-04,16:00:00,0,0,107353.58,107353.58,7353.58,596.42,stock,VMT
2020-06-05,16:00:00,0,0,107353.58,107353.58,7353.58,596.42,stock,VMT
2020-06-08,16:00:00,0,0,107353.58,107353.58,7353.58,596.42,stock,VMT
2020-06-09,16:00:00,0,0,107353.58,107353.58,7353.58,596.42,stock,VMT
2020-06-10,16:00:00,0,0,107353.58,107353.58,7353.58,596.42,stock,VMT
2020-06-11,16:00:00,0,0,107353.58,107353.58,7353.58,596.42,stock,VMT
2020-06-12,16:00:00,0,0,107353.58,107353.58,7353.58,596.42,stock,VMT
2020-06-15,16:00:00,0,0,107353.58,107353.58,7353.58,596.42,stock,VMT
2020-06-16,16:00:00,0,0,107353.58,107353.58,7353.58,596.42,stock,VMT
2020-06-17,16:00:00,0,0,107353.58,107353.58,7353.58,596.42,stock,VMT
2020-06-18,16:00:00,0,0,107353.58,107353.58,7353.58,596.42,stock,VMT
2020-06-19,16:00:00,0,0,107353.58,107353.58,7353.58,596.42,stock,VMT
2020-06-22,16:00:00,0,0,107353.58,107353.58,7353.58,596.42,stock,VMT
2020-06-23,16:00:00,0,0,107353.58,107353.58,7353.58,596.42,stock,VMT
2020-06-24,16:00:00,0,0,107353.58,107353.58,7353.58,596.42,stock,VMT
2020-06-29,16:00:00,0,0,107353.58,107353.58,7353.58,596.42,stock,VMT
2020-06-30,16:00:00,0,0,107353.58,107353.58,7353.58,596.42,stock,VMT
2020-07-01,16:00:00,0,0,107353.58,107353.58,7353.58,596.42,stock,VMT
